gene_A	gene_B	type_A	type_B
SHMT1	GLRA2	L	R
SLC6A9	GLRA2	L	R
SLC6A5	GLRA1	L	R
SLC6A5	GLRB	L	R
SLC6A5	GLRA2	L	R
SHMT2	GLRA1	L	R
SHMT2	GLRB	L	R
SHMT2	GLRA2	L	R
HSD17B3	AR	L	R
LIPA	RORA	L	R
LIPA	RORC	L	R
LIFR	JAK1	L	R
LIFR	JAK2	L	R
LIFR	TYK2	L	R
PTGDS	PTGDR	L	R
PTGDS	PTGDR2	L	R
AKR1C3	PTGFR	L	R
AKR1C3	PTGDR	L	R
AKR1C3	PTGDR2	L	R
ASMT	MTNR1A	L	R
ASMT	MTNR1B	L	R
ALDH1A3	CRABP2	L	R
ALDH1A3	RARA	L	R
ALDH1A3	RXRA	L	R
ALDH1A3	RARB	L	R
ALDH1A3	RXRB	L	R
ALDH1A3	RARG	L	R
ALDH1A3	RXRG	L	R
SLC6A8	GABRA1	L	R
SLC6A8	GABRB2	L	R
SLC6A8	GABRD	L	R
SLC6A8	GABRA4	L	R
SLC6A8	GABRB3	L	R
SLC6A8	GABRA6	L	R
SLC6A8	GABRG2	L	R
SLC6A8	GABRA5	L	R
SLC6A8	GABRA3	L	R
SLC6A8	GABRA2	L	R
SLC6A8	GABRE	L	R
SLC6A8	GABRQ	L	R
SLC6A8	GABBR2	L	R
SLC6A8	GABBR1	L	R
SLC6A12	GABRA1	L	R
SLC6A12	GABRB2	L	R
SLC6A12	GABRD	L	R
SLC6A12	GABRA4	L	R
SLC6A12	GABRB3	L	R
SLC6A12	GABRA6	L	R
SLC6A12	GABRG2	L	R
SLC6A12	GABRA5	L	R
SLC6A12	GABRA3	L	R
SLC6A12	GABRA2	L	R
SLC6A12	GABRE	L	R
SLC6A12	GABRQ	L	R
SLC6A12	GABBR2	L	R
SLC6A12	GABBR1	L	R
SLC6A11	GABRA1	L	R
SLC6A11	GABRB2	L	R
SLC6A11	GABRD	L	R
SLC6A11	GABRA4	L	R
SLC6A11	GABRB3	L	R
SLC6A11	GABRA6	L	R
SLC6A11	GABRG2	L	R
SLC6A11	GABRA5	L	R
SLC6A11	GABRA3	L	R
